story_id,person,aliases,sentence_id,type,text,mention_count,word_count,text_prev,text_next,bert_context,ml_context,is_primary_in_sentence,predicted_type
7,Tokoh-1,"['ibu ahmad', 'ibu']",53,others,"Beberapa hari kemudian , Ibu Ahmad dan Muhammad mengambil keputusan sendiri .",0.0100502512562814,0.0171428571428571,"Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja .","Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya .","Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja . [SEP] Beberapa hari kemudian , Ibu Ahmad dan Muhammad mengambil keputusan sendiri . [SEP] Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya .","Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja . Beberapa hari kemudian , Ibu Ahmad dan Muhammad mengambil keputusan sendiri . Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya .",True,protagonist
7,Tokoh-1,"['ibu ahmad', 'ibu']",62,others,"Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing .",0.0100502512562814,0.0171428571428571,"Setibanya di rumah , mereka langsung mencari burung kesayangan mereka .","Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''","Setibanya di rumah , mereka langsung mencari burung kesayangan mereka . [SEP] Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . [SEP] Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''","Setibanya di rumah , mereka langsung mencari burung kesayangan mereka . Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''",True,others
7,Tokoh-1,"['ibu ahmad', 'ibu']",63,others,"Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''",0.0100502512562814,0.0171428571428571,"Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing .",Ahmad dan Muhammad hampir pingsan karena kesedihan .,"Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . [SEP] Daripada terbuang sia-sia , ibu memotong dan memanggangnya . '' [SEP] Ahmad dan Muhammad hampir pingsan karena kesedihan .","Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . Daripada terbuang sia-sia , ibu memotong dan memanggangnya . '' Ahmad dan Muhammad hampir pingsan karena kesedihan .",True,others
7,Tokoh-2,['pak ahmad'],48,protagonist,"Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu .",0.0100502512562814,0.0257142857142857,Burung ini sudah seperti saudara kami sendiri . '',"Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan .","Burung ini sudah seperti saudara kami sendiri . '' [SEP] Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . [SEP] Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan .","Burung ini sudah seperti saudara kami sendiri . '' Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan .",False,others
7,Tokoh-2,['pak ahmad'],49,protagonist,"Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan .",0.0100502512562814,0.0257142857142857,"Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu .",`` Bagaimana jika dua-tiga hari lagi Wak Pawang datang kembali ?,"Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . [SEP] Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan . [SEP] `` Bagaimana jika dua-tiga hari lagi Wak Pawang datang kembali ?","Melihat ayah mereka pulang dari sawah , Wak Pawang Merbuk pun berbicara langsung kepada Pak Ahmad dan menyampaikan keinginannya untuk membeli burung itu . Pak Ahmad hampir setuju , karena mereka sangat membutuhkan uang , tetapi ia tidak bisa langsung mengambil keputusan . `` Bagaimana jika dua-tiga hari lagi Wak Pawang datang kembali ?",True,protagonist
7,Tokoh-2,['pak ahmad'],67,protagonist,"Tidak lama setelah itu , Pak Ahmad pulang dari sawah dan mengetahui kejadian tersebut .",0.0100502512562814,0.0257142857142857,"Ahmad memakan kepala burung , sementara Muhammad memakan hatinya .","Ia marah besar dan , tanpa mendengar penjelasan anak-anaknya , mengusir mereka dari rumah .","Ahmad memakan kepala burung , sementara Muhammad memakan hatinya . [SEP] Tidak lama setelah itu , Pak Ahmad pulang dari sawah dan mengetahui kejadian tersebut . [SEP] Ia marah besar dan , tanpa mendengar penjelasan anak-anaknya , mengusir mereka dari rumah .","Ahmad memakan kepala burung , sementara Muhammad memakan hatinya . Tidak lama setelah itu , Pak Ahmad pulang dari sawah dan mengetahui kejadian tersebut . Ia marah besar dan , tanpa mendengar penjelasan anak-anaknya , mengusir mereka dari rumah .",True,others
7,Tokoh-3,['puteri bungsu'],74,others,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .,0.0,0.0061904761904761,"Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad .","Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . [SEP] Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . [SEP] Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .",False,others
7,Tokoh-4,['puteri sulung'],74,others,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .,0.0,0.0061904761904761,"Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad .","Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . [SEP] Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . [SEP] Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .",False,others
7,Tokoh-5,['raja'],74,others,Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu .,0.0,0.0061904761904761,"Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad .","Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . [SEP] Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . [SEP] Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .","Setelah berbagai petualangan dan rintangan , kedua bersaudara ini akhirnya bertemu kembali di istana Ahmad . Raja yang sudah tua memutuskan untuk menikahkan Ahmad dengan Puteri Sulung dan Muhammad dengan Puteri Bungsu . Ahmad pun menjadi raja , sementara Muhammad menjadi menteri .",True,others
7,Tokoh-6,['ayah'],12,others,"Dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka .",0.0301507537688442,0.049047619047619,"Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas .","`` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah .","Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas . [SEP] Dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka . [SEP] `` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah .","Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas . Dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka . `` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah .",True,others
